isbn,api,google books availability
9780199341559,https://www.googleapis.com/books/v1/volumes?q=isbn:9780199341559,
9781442240131,https://www.googleapis.com/books/v1/volumes?q=isbn:9781442240131,
9781580465007,https://www.googleapis.com/books/v1/volumes?q=isbn:9781580465007,not in GB
9780521519885,https://www.googleapis.com/books/v1/volumes?q=isbn:9780521519885,
9780252038815,https://www.googleapis.com/books/v1/volumes?q=isbn:9780252038815,
9780895797995,https://www.googleapis.com/books/v1/volumes?q=isbn:9780895797995,not in GB
9780822357841,https://www.googleapis.com/books/v1/volumes?q=isbn:9780822357841,
9781442236028,https://www.googleapis.com/books/v1/volumes?q=isbn:9781442236028,
9780253015365,https://www.googleapis.com/books/v1/volumes?q=isbn:9780253015365,
9780739166932,https://www.googleapis.com/books/v1/volumes?q=isbn:9780739166932,
9780199382033,https://www.googleapis.com/books/v1/volumes?q=isbn:9780199382033,not in GB
9780252080333,https://www.googleapis.com/books/v1/volumes?q=isbn:9780252080333,
9781580464741,https://www.googleapis.com/books/v1/volumes?q=isbn:9781580464741,
9781628460391,https://www.googleapis.com/books/v1/volumes?q=isbn:9781628460391,
9780810888913,https://www.googleapis.com/books/v1/volumes?q=isbn:9780810888913,
9781628461855,https://www.googleapis.com/books/v1/volumes?q=isbn:9781628461855,
9781107037533,https://www.googleapis.com/books/v1/volumes?q=isbn:9781107037533,
9781442232631,https://www.googleapis.com/books/v1/volumes?q=isbn:9781442232631,
9781462518036,https://www.googleapis.com/books/v1/volumes?q=isbn:9781462518036,not in GB
9780398081171,https://www.googleapis.com/books/v1/volumes?q=isbn:9780398081171,
9780415740067,https://www.googleapis.com/books/v1/volumes?q=isbn:9780415740067,
9780810888494,https://www.googleapis.com/books/v1/volumes?q=isbn:9780810888494,
9780857856616,https://www.googleapis.com/books/v1/volumes?q=isbn:9780857856616,not in GB
9781843839859,https://www.googleapis.com/books/v1/volumes?q=isbn:9781843839859,
9780739198193,https://www.googleapis.com/books/v1/volumes?q=isbn:9780739198193,not in GB
9780199391950,https://www.googleapis.com/books/v1/volumes?q=isbn:9780199391950,
9780252039041,https://www.googleapis.com/books/v1/volumes?q=isbn:9780252039041,
9781843839880,https://www.googleapis.com/books/v1/volumes?q=isbn:9781843839880,
9781843839842,https://www.googleapis.com/books/v1/volumes?q=isbn:9781843839842,
9782760632387,https://www.googleapis.com/books/v1/volumes?q=isbn:9782760632387,
9780199357574,https://www.googleapis.com/books/v1/volumes?q=isbn:9780199357574,not in GB
9780521707534,https://www.googleapis.com/books/v1/volumes?q=isbn:9780521707534,not in GB
9780252080722,https://www.googleapis.com/books/v1/volumes?q=isbn:9780252080722,not in GB
9781475804331,https://www.googleapis.com/books/v1/volumes?q=isbn:9781475804331,
9780252080692,https://www.googleapis.com/books/v1/volumes?q=isbn:9780252080692,not in GB
9781843839828,https://www.googleapis.com/books/v1/volumes?q=isbn:9781843839828,not in GB
9781843839835,https://www.googleapis.com/books/v1/volumes?q=isbn:9781843839835,
9781843839873,https://www.googleapis.com/books/v1/volumes?q=isbn:9781843839873,not in GB
9781843839866,https://www.googleapis.com/books/v1/volumes?q=isbn:9781843839866,not in GB
9780520283992,https://www.googleapis.com/books/v1/volumes?q=isbn:9780520283992,
9781107004269,https://www.googleapis.com/books/v1/volumes?q=isbn:9781107004269,
9781107657250,https://www.googleapis.com/books/v1/volumes?q=isbn:9781107657250,
9780252039089,https://www.googleapis.com/books/v1/volumes?q=isbn:9780252039089,
9781472579836,https://www.googleapis.com/books/v1/volumes?q=isbn:9781472579836,not in GB
9780812246841,https://www.googleapis.com/books/v1/volumes?q=isbn:9780812246841,
9780199303465,https://www.googleapis.com/books/v1/volumes?q=isbn:9780199303465,
9781138856363,https://www.googleapis.com/books/v1/volumes?q=isbn:9781138856363,not in GB
9780190233273,https://www.googleapis.com/books/v1/volumes?q=isbn:9780190233273,
9780812223293,https://www.googleapis.com/books/v1/volumes?q=isbn:9780812223293,
9781849055765,https://www.googleapis.com/books/v1/volumes?q=isbn:9781849055765,
9780190230913,https://www.googleapis.com/books/v1/volumes?q=isbn:9780190230913,
9780415723282,https://www.googleapis.com/books/v1/volumes?q=isbn:9780415723282,
9781107027084,https://www.googleapis.com/books/v1/volumes?q=isbn:9781107027084,not in GB
9781107051898,https://www.googleapis.com/books/v1/volumes?q=isbn:9781107051898,
9781107643864,https://www.googleapis.com/books/v1/volumes?q=isbn:9781107643864,not in GB
